Geographic.code,CD_Name,CSD_type,CSD_Name,LT1NAME,AHHI,MHHI
3559001,Rainy River,Township,Atikokan,Atikokan Tp,62404,46845
3559011,Rainy River,Township,Alberton,Alberton Tp,116433,111672
3559012,Rainy River,Town,Fort Frances,Fort Frances T,72775,58841
3559016,Rainy River,Township,La Vallee,La Vallee Tp,82129,75347
3559040,Rainy River,Township,Dawson,Dawson Tp,60618,44774
3560001,Kenora,Township,Ignace,Ignace Tp,57619,51601
3560010,Kenora,City,Kenora,Kenora C,74594,65164
3560027,Kenora,City,Dryden,Dryden C,76518,60058
3560032,Kenora,Township,Ear Falls,Ear Falls Tp,66512,67666
3560034,Kenora,Municipality,Sioux Lookout,Sioux Lookout M,85416,67034
3560042,Kenora,Municipality,Red Lake,Red Lake M,101912,97593
3560049,Kenora,Township,Pickle Lake,Pickle Lake Tp,82545,82946
